epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0682,1.61842,2.01783,1.87063,0.19789,0.36585,0.13872,0.03482,2.55257,9.14436,4.65752,0.0675156,0.000328125,0.000328125
2,105.146,1.70003,1.62436,1.89036,0.00069,0.17615,0.00041,0.00015,nan,nan,nan,0.0344952,0.000640994,0.000640994
3,156.505,1.71803,1.65228,1.85051,0.13655,0.07588,0.04165,0.01395,3.2856,6.22806,4.01701,0.00145407,0.000933239,0.000933239
4,207.874,1.65492,1.57036,1.80965,0.32434,0.12466,0.10617,0.03978,3.3011,7.26109,4.03601,0.000907188,0.000907188,0.000907188
5,259.674,1.58051,1.48906,1.74945,0.28148,0.36314,0.22246,0.07741,2.379,5.77139,2.74433,0.00087625,0.00087625,0.00087625
6,311.403,1.54765,1.40165,1.69897,0.58272,0.47154,0.47561,0.20859,2.21889,2.11863,3.10433,0.000845313,0.000845313,0.000845313
7,363.073,1.54979,1.37449,1.70907,0.76527,0.54472,0.61077,0.30064,2.06,1.83541,2.50624,0.000814375,0.000814375,0.000814375
8,414.788,1.49199,1.34045,1.64783,0.79186,0.62894,0.71778,0.37244,1.7823,1.61027,2.02558,0.000783438,0.000783438,0.000783438
9,466.435,1.42579,1.24772,1.61746,0.75326,0.67015,0.6813,0.33937,1.81632,1.59959,2.21159,0.0007525,0.0007525,0.0007525
10,517.798,1.45837,1.28159,1.63266,0.71733,0.61896,0.66438,0.33895,1.83279,1.43769,2.01031,0.000721562,0.000721562,0.000721562
11,569.165,1.36197,1.15036,1.56439,0.7813,0.639,0.71873,0.38203,1.76812,1.39851,2.01256,0.000690625,0.000690625,0.000690625
12,620.732,1.38014,1.14666,1.57474,0.75993,0.52846,0.60268,0.28041,2.07653,1.66703,2.32865,0.000659688,0.000659688,0.000659688
13,672.049,1.35193,1.10897,1.55455,0.78341,0.70577,0.76688,0.44925,1.68475,1.15498,1.98359,0.00062875,0.00062875,0.00062875
14,723.689,1.32693,1.03738,1.53339,0.83147,0.70862,0.75724,0.40904,1.64683,1.25143,1.94062,0.000597812,0.000597812,0.000597812
15,774.949,1.3182,1.06051,1.50398,0.84085,0.69648,0.78549,0.45421,1.61714,1.16206,1.8314,0.000566875,0.000566875,0.000566875
16,826.573,1.30909,1.02326,1.49884,0.78605,0.6748,0.72528,0.43105,1.61275,1.35928,1.90794,0.000535937,0.000535937,0.000535937
17,877.954,1.2965,1.01897,1.50209,0.81169,0.75881,0.81597,0.46337,1.6047,1.07671,1.86088,0.000505,0.000505,0.000505
18,929.543,1.27585,0.96651,1.47907,0.72353,0.7447,0.74257,0.36548,1.63111,1.22664,1.82866,0.000474062,0.000474062,0.000474062
19,980.821,1.24305,0.96,1.4605,0.85315,0.76152,0.83146,0.48165,1.49727,1.03161,1.77016,0.000443125,0.000443125,0.000443125
20,1033.82,1.2305,0.93295,1.46595,0.89127,0.77507,0.8589,0.49554,1.51835,0.94361,1.71956,0.000412188,0.000412188,0.000412188
21,1085.41,1.2288,0.9316,1.44328,0.82826,0.79404,0.83528,0.44774,1.63671,1.08842,1.93721,0.00038125,0.00038125,0.00038125
22,1136.77,1.20708,0.89159,1.42726,0.83519,0.77236,0.83662,0.45713,1.66748,1.02492,1.8306,0.000350313,0.000350313,0.000350313
23,1189.31,1.12299,0.76653,1.46256,0.87536,0.75881,0.85847,0.50216,1.49103,0.90193,1.75302,0.000319375,0.000319375,0.000319375
24,1240.87,1.08741,0.69954,1.42666,0.8227,0.7832,0.82242,0.46068,1.54901,0.98356,1.82794,0.000288438,0.000288438,0.000288438
25,1292.11,1.06786,0.67456,1.42793,0.79093,0.75068,0.82101,0.47805,1.52285,1.08722,1.8158,0.0002575,0.0002575,0.0002575
26,1343.4,1.07379,0.6756,1.4196,0.81813,0.74366,0.82946,0.4874,1.58571,1.02159,1.86029,0.000226563,0.000226563,0.000226563
27,1394.63,1.03242,0.63371,1.39387,0.91088,0.8033,0.89004,0.51017,1.56022,0.88708,1.76171,0.000195625,0.000195625,0.000195625
28,1446.15,1.00615,0.61075,1.37185,0.8864,0.84824,0.9135,0.52142,1.48951,0.80333,1.69216,0.000164688,0.000164688,0.000164688
29,1497.71,0.98532,0.57452,1.3421,0.87022,0.84553,0.89601,0.50921,1.46585,0.81967,1.68846,0.00013375,0.00013375,0.00013375
30,1548.97,0.93645,0.55369,1.31147,0.89119,0.83198,0.8991,0.54206,1.43507,0.83284,1.66774,0.000102812,0.000102812,0.000102812
31,1600.52,0.94831,0.55105,1.31157,0.91899,0.83009,0.90457,0.54573,1.39972,0.79639,1.62775,7.1875e-05,7.1875e-05,7.1875e-05
32,1652.06,0.92401,0.53226,1.32375,0.88662,0.86891,0.9105,0.5271,1.48217,0.78857,1.70619,4.09375e-05,4.09375e-05,4.09375e-05
